video_id,channel_id,title,category,published_at,duration_seconds
video_101,channel_001,7 AI Workflows That Saved Me 10 Hours,AI tools,2026-04-10T15:00:00,742
video_102,channel_001,I Replaced My Notes App With an AI System,AI productivity,2026-04-17T15:00:00,681
video_103,channel_001,Why Most AI Automations Fail,AI strategy,2026-04-24T15:00:00,814
video_104,channel_001,Build a Personal Research Agent in 20 Minutes,AI tutorials,2026-05-01T15:00:00,978
video_105,channel_001,The Truth About AI Browser Agents,AI tools,2026-05-04T15:00:00,638
video_201,channel_002,5 Weeknight Dinners With One Sheet Pan,Meal prep,2026-04-09T18:00:00,524
video_202,channel_002,The Crispiest Oven Potatoes,Technique,2026-04-16T18:00:00,468
video_203,channel_002,I Tested Viral Pasta Hacks,Food trends,2026-04-23T18:00:00,702
video_204,channel_002,Cheap High Protein Lunches,Meal prep,2026-04-30T18:00:00,655
video_205,channel_002,Why Your Chicken Breast Is Dry,Technique,2026-05-05T18:00:00,591

